,actor_1_name,director_name
165,Robin Williams,George Miller
166,Don Johnson,
167,Tom Cruise,Steven Spielberg
168,Benedict Cumberbatch,Eric Darnell
169,Jennifer Lawrence,Francis Lawrence
170,Daniel Radcliffe,Alfonso Cuarón
171,Matt Damon,Paul Greengrass
172,Angelina Jolie Pitt,Mark Osborne
173,Judy Greer,Peyton Reed
174,Salma Hayek,Chris Miller
175,J.K. Simmons,Tom McGrath
176,Will Smith,Michael Bay
177,Miguel Ferrer,Carlos Saldanha
178,Angelina Jolie Pitt,Phillip Noyce
179,Toby Jones,Steven Spielberg
180,Will Smith,M. Night Shyamalan
181,Essie Davis,Baz Luhrmann
182,Ryan Reynolds,Robert Schwentke
183,Alfre Woodard,Eric Leighton
184,Robin Williams,Shawn Levy
185,Rupert Grint,Matt Birch
186,Jennifer Lawrence,Francis Lawrence
187,Daniel Radcliffe,Chris Columbus
188,Johnny Depp,Gore Verbinski
189,Rupert Grint,Matt Birch
190,Tom Hanks,Ron Howard
191,Paul Walker,Justin Lin
192,Robert Downey Jr.,Guy Ritchie
193,Jake Gyllenhaal,Roland Emmerich
194,Michael Fassbender,Ridley Scott
195,Jeremy Renner,Tony Gilroy
196,Michael Gough,Joel Schumacher
197,Tony Curran,John McTiernan
198,Clint Howard,Ron Howard
199,Karen Allen,Wolfgang Petersen
200,Chris Evans,Tim Story
201,Suraj Sharma,Ang Lee
202,Nicolas Cage,Mark Steven Johnson
203,Matt Damon,Paul Greengrass
204,Demi Moore,McG
205,Matt Damon,Neill Blomkamp
206,Morgan Freeman,Joseph Kosinski
207,Nathan Lane,Rob Minkoff
208,Vin Diesel,David Twohy
209,Scott Porter,Lana Wachowski
210,Shelley Conn,James L. Brooks
211,Tom Cruise,James Mangold
212,Natalie Portman,George Lucas
213,Natalie Portman,George Lucas
214,Natalie Portman,George Lucas
215,Steve Buscemi,Pete Docter
216,Hugh Jackman,James Mangold
217,Jamie Renée Smith,Roger Donaldson
218,Chris Hemsworth,Cedric Nicolas-Troyan
219,Nicolas Cage,John Woo
220,Alain Delon,Frédéric Forestier
221,James Corden,Rob Letterman
222,Phaldut Sharma,Alfonso Cuarón
223,Robin Williams,Shawn Levy
224,Brad Pitt,Doug Liman
225,Dwayne Johnson,Brad Peyton
226,Mahadeo Shivraj,Raja Gosnell
227,Bruce Willis,Len Wiseman
228,Brad Pitt,Steven Soderbergh
229,Vincent Schiavelli,Roger Spottiswoode
230,Heath Ledger,Roland Emmerich
231,Eva Green,Noam Murro
232,Leonardo DiCaprio,Martin Scorsese
233,Christoph Waltz,Michel Gondry
234,Hugh Jackman,Shawn Levy
235,Jacob Tremblay,Raja Gosnell
236,Denzel Washington,Tony Scott
237,Harrison Ford,Gavin Hood
238,Steve Buscemi,Will Finn
239,Jason Patric,Jan de Bont
240,Christopher Lee,Peter Jackson
241,Sean Hayes,Bo Welch
242,Will Smith,Michael Mann
243,Matt Damon,Ridley Scott
244,Will Smith,Alex Proyas
245,Chazz Palminteri,Rob Minkoff
246,Oprah Winfrey,Ron Clements
247,Mathew Buck,Christopher Barnard
248,Del Zamora,Peter Chelsom
249,Nicolas Cage,Dominic Sena
250,Djimon Hounsou,Ridley Scott
251,Johnny Depp,Michael Mann
252,Tom Cruise,Steven Spielberg
253,Tom Hanks,Tom Tykwer
254,Daniel Radcliffe,Chris Columbus
255,Joe Morton,James Cameron
256,Michael Gough,Joel Schumacher
257,Nicolas Cage,Jon Turteltaub
258,Leonardo DiCaprio,Quentin Tarantino
259,Robert De Niro,Paul Weitz
260,Jamie Lee Curtis,James Cameron
261,Denzel Washington,Ridley Scott
262,Will Forte,Phil Lord
263,Dwayne Johnson,Adam McKay
264,Leonardo DiCaprio,Martin Scorsese
265,Josh Hutcherson,Chris Wedge
266,Vanessa Williams,Chuck Russell
267,Demi Moore,Gary Trousdale
268,Eartha Kitt,Mark Dindal
269,Jason Statham,Simon West
270,Catherine O'Hara,Spike Jonze
271,Djimon Hounsou,Stefen Fangmeier
272,CCH Pounder,Peter Hyams
273,Jon Lovitz,Frank Oz
274,Jeff Bridges,Ash Brannon
275,Leonardo DiCaprio,Edward Zwick
276,Abbie Cornish,Zack Snyder
277,Jake Busey,Paul Verhoeven
278,Will Ferrell,Brad Silberling
279,Frances Conroy,Pitof
280,Jason Statham,Patrick Hughes
281,Joseph Gordon-Levitt,Ron Clements
282,Matt Damon,Paul Greengrass
283,Johnny Depp,Wally Pfister
284,Jamie Kennedy,Lawrence Guterman
285,Ben Gazzara,David Mamet
286,Rosario Dawson,Ron Underwood
287,Francesca Capaldi,Steve Martino
288,Dwayne Johnson,Stephen Sommers
289,Leonardo DiCaprio,Martin Scorsese
290,Peter Dinklage,Steve Martino
291,Ioan Gruffudd,Ridley Scott
292,Logan Lerman,Chris Columbus
293,Denzel Washington,Tony Scott
294,Milla Jovovich,Luc Besson
295,Frank Welker,Bibo Bergeron
296,Michael Imperioli,Peter Jackson
297,Michael Imperioli,Peter Jackson
298,Jeff Bridges,Sergey Bodrov
299,Alexander Gould,Andrew Stanton
300,Orlando Bloom,Peter Jackson
301,Christopher Lee,Peter Jackson
302,Angelina Jolie Pitt,Simon West
303,Michael Jeter,Joe Johnston
304,James Franco,Rupert Wyatt
305,Martin Short,Mark Waters
306,Holly Hunter,Brad Bird
307,Bruce Willis,John Moore
308,Christopher Masterson,Renny Harlin
309,Adam Scott,Ben Stiller
310,Will Smith,Barry Sonnenfeld
311,Tom Hanks,John Lasseter
312,Mei Melançon,Brett Ratner
313,Robert Downey Jr.,Guy Ritchie
314,Denis Leary,Carlos Saldanha
315,Harrison Ford,Robert Zemeckis
316,Anne Hathaway,Carlos Saldanha
317,Leonardo DiCaprio,Martin Scorsese
318,Bill Murray,McG
319,Ming-Na Wen,Tony Bancroft
320,Robert Downey Jr.,Ben Stiller
321,Robin Wright,David Fincher
322,Matthew McConaughey,Robert Zemeckis
323,Adam Sandler,Dennis Dugan
324,Bruce Willis,John McTiernan
325,Bella Thorne,Walt Becker
326,Leonard Nimoy,Gary Trousdale
327,Tom Cruise,Bryan Singer
328,Peter Dinklage,Chris Columbus
329,Haley Joel Osment,Steven Spielberg
330,Marsha Thomason,Rob Minkoff
331,Greg Grunberg,Paul Verhoeven
332,Curtiss Cook,Sydney Pollack
333,Logan Lerman,Thor Freudenthal
334,Gerard Butler,Jan de Bont
335,Daniel Radcliffe,Jon M. Chu
336,Brad Pitt,Tony Scott
337,Alun Armstrong,Phillip Noyce
338,Don Cheadle,Brian De Palma
339,Robin Williams,Chris Columbus
340,Don Cheadle,Mick Jackson
341,Harrison Ford,Alan J. Pakula
342,Liam Neeson,Kathryn Bigelow
343,Milla Jovovich,Paul W.S. Anderson
344,Shirley Henderson,Andrey Konchalovskiy
345,Paddy Considine,Ron Howard
346,Jeff Bridges,Gary Ross
347,Tom Hanks,Robert Zemeckis
348,Brad Pitt,Steven Soderbergh
349,Matt Damon,Paul Greengrass
350,Harrison Ford,Wolfgang Petersen
351,Kate Winslet,Neil Burger
352,Steve Buscemi,Genndy Tartakovsky
353,Jeff Bennett,Kevin Lima
354,Denzel Washington,Daniel Espinosa
355,Al Pacino,Steven Soderbergh
356,Meryl Streep,Nancy Meyers
357,Will Smith,Tony Scott
358,Jon Favreau,Roger Allers
359,Matthew Broderick,Brett Ratner
360,Ioan Gruffudd,Kevin Lima
361,Julia Roberts,Tarsem Singh
362,Kate Winslet,Nancy Meyers
363,Amber Stevens West,Justin Lin
364,Li Gong,Rob Marshall
365,Bob Hoskins,Jean-Jacques Annaud
366,F. Murray Abraham,John McTiernan
367,Dwayne Johnson,Peter Berg
368,Jim Broadbent,Sarah Smith
369,Jack McBrayer,Brad Peyton
370,Anthony Hopkins,Martin Brest
371,Raymond Cruz,Andrew Davis
372,Robert Downey Jr.,David Fincher
373,Anna Kendrick,Edgar Wright
374,Glenn Morshower,Jon Amiel
375,Sarah Michelle Gellar,Raja Gosnell
376,Larry Miller,Peter Segal
377,Bruce Willis,Dean Parisot
378,Adam Sandler,Frank Coraci
379,Steve Buscemi,Gary Winick
380,Kristen Stewart,Doug Liman
381,Seth MacFarlane,Guillermo del Toro
382,Adam Sandler,Peter Segal
383,Jason Statham,Sylvester Stallone
384,Robert Duvall,Roger Spottiswoode
385,Morgan Freeman,Tom Shadyac
386,Jennifer Lawrence,Gary Ross
387,Bradley Cooper,Todd Phillips
388,Steve Buscemi,Genndy Tartakovsky
389,Michael Gough,Tim Burton
390,Bruce Willis,Tim Johnson
391,Tia Carrere,Dean DeBlois
392,Morgan Freeman,Mimi Leder
393,Steve Buscemi,Dennis Dugan
394,Amy Poehler,Mike Mitchell
395,Bill Murray,Peter Segal
396,Jim Broadbent,Chris Wedge
397,Leonardo DiCaprio,Martin Scorsese
398,Keanu Reeves,Nancy Meyers
399,Jon Favreau,Seth Gordon
400,Nicolas Cage,John Woo
401,Adam Sandler,Adam Shankman
402,Tom Hanks,Sam Mendes
403,Adam Sandler,Dennis Dugan
404,Rosario Dawson,D.J. Caruso
405,Steve Buscemi,Simon West
406,Justin Timberlake,Eric Brevig
407,Philip Seymour Hoffman,Anthony Minghella
408,Denzel Washington,Albert Hughes
409,Robin Williams,Les Mayfield
410,Bill Murray,Joe Pytka
411,Brad Pitt,David Ayer
412,Roger Rees,Shawn Levy
413,Rosario Dawson,Frank Coraci
414,Julia Roberts,Richard Donner
415,Harrison Ford,Ivan Reitman
416,Matt Damon,Kelly Asbury
417,Hugh Jackman,Dominic Sena
418,Gary Oldman,Stephen Hopkins
419,Denzel Washington,Jonathan Demme
420,Quincy Jones,James Algar
421,Mark Addy,Simon Wells
422,Robin Williams,Vincent Ward
423,Charlize Theron,Ron Underwood
424,Michael Emerson,Martin Campbell
425,Adam Sandler,Steven Brill
426,Matt Damon,Terry Gilliam
427,Natalie Portman,Tim Burton
428,Charlie Rowe,Barry Cook
429,Bruce Greenwood,Roger Donaldson
430,Sylvester Stallone,Rob Cohen
431,Vin Diesel,Breck Eisner
432,Sasha Roiz,Paul W.S. Anderson
433,Brendan Fraser,Joe Dante
434,Fergie,Rob Marshall
435,Paul Walker,Richard Donner
436,Pedro Armendáriz Jr.,Jacques Perrin
437,Adam Goldberg,George Miller
438,Olivia Williams,Kevin Costner
439,Bob Neill,Antony Hoffman
440,Roger Rees,Oliver Hirschbiegel
441,David Oyelowo,Peter Hyams
442,Matthew Broderick,Roger Allers
443,Josh Hutcherson,Brad Peyton
444,Al Pacino,Dennis Dugan
445,Adam Goldberg,Ron Howard
446,Will Forte,Cody Cameron
447,Philip Seymour Hoffman,Brett Ratner
448,J.K. Simmons,Joe Johnston
449,Jason Flemyng,Stephen Norrington
450,James D'Arcy,Renny Harlin
451,Jeff Bridges,Mark Osborne
452,Steve Carell,Pierre Coffin
453,Charlie Hunnam,Alfonso Cuarón
454,Robert De Niro,Des McAnuff
455,Steve Coogan,Yarrow Cheney
456,Will Smith,Roland Emmerich
457,Ariana Richards,Steven Spielberg
458,Denis Leary,Carlos Saldanha
459,Jada Pinkett Smith,Eric Darnell
460,Steve Buscemi,Dennis Dugan
461,Robert De Niro,Bibo Bergeron
462,Hugh Jackman,Bryan Singer
463,Angelina Jolie Pitt,Timur Bekmambetov
464,Nicolas Cage,Michael Bay
465,Adam Sandler,Peter Segal
466,Jerry Stiller,Adam Shankman
467,Morgan Freeman,Louis Leterrier
468,Loretta Devine,Bill Condon
469,Matthew Broderick,David Kellogg
470,Henry Cavill,Tarsem Singh
471,Tom Hanks,Steven Spielberg
472,Walter Hendrix III,Neil Mcenery-West
473,Steve Buscemi,Gil Kenan
474,Don Cheadle,Thor Freudenthal
475,Nicholas Lea,Martin Campbell
476,Philip Seymour Hoffman,Mike Nichols
477,Dwayne Johnson,F. Gary Gray
478,Ayelet Zurer,Steven Spielberg
479,Tom Selleck,Robert Luketic
480,Henry Cavill,Guy Ritchie
481,Bruce Willis,Antoine Fuqua
482,Bryce Dallas Howard,M. Night Shyamalan
483,Adam Sandler,James L. Brooks
484,Bruce Willis,Barry Levinson
485,Bai Ling,Andy Tennant
486,Jon Hamm,Zack Snyder
487,Jimmy Bennett,Florent-Emilio Siri
488,Harrison Ford,Ron Shelton
489,Matt Damon,Don Bluth
490,Dennis Quaid,John Moore
491,Connie Nielsen,Paul W.S. Anderson
492,Brendan Fraser,Henry Selick
493,Steve Carell,Kyle Balda
494,Tim Conway,Paul Tibbitt
495,Robin Wright,M. Night Shyamalan
496,Will Ferrell,Adam McKay
497,Peter Dinklage,Clay Kaytis
498,Nicolas Cage,Brian De Palma
499,Peter Coyote,Barry Levinson
500,Albert Brooks,David Silverman
501,Matthew McConaughey,Andy Tennant
502,Adam Sandler,Judd Apatow
503,Jennifer Garner,Peter Berg
504,Mhairi Calvey,Mel Gibson
505,Jake Gyllenhaal,Sam Mendes
506,Sylvester Stallone,Renny Harlin
507,Martin Landau,Frank Darabont
508,David Gant,Jean-Jacques Annaud
509,Bryce Dallas Howard,M. Night Shyamalan
510,Rory Culkin,M. Night Shyamalan
511,Rupert Everett,Andrew Adamson
512,Amy Poehler,Betty Thomas
513,Julia Roberts,Garry Marshall
514,Vin Diesel,Rob Cohen
515,Lili Taylor,Ron Howard
516,Robin Williams,Steven Spielberg
517,Bruce Willis,Renny Harlin
518,Jeremy Renner,Clark Johnson
519,Nicole Beharie,
520,Tom Cruise,Cameron Crowe
521,Gerard Butler,Antoine Fuqua
522,Noel Fisher,Jonathan Liebesman
523,Sanaa Lathan,Paul W.S. Anderson
524,Jeremy Irvine,Steven Spielberg
525,Jon Hamm,Randall Wallace
526,Bill Murray,George Clooney
527,LeVar Burton,Jonathan Frakes
528,Steve Buscemi,Tim Burton
529,David Hyde Pierce,Mike Nichols
530,Theo James,Måns Mårlind
531,Dominic Cooper,Gary Shore
532,Michael Biehn,James Cameron
533,Frank Langella,Oliver Stone
534,Channing Tatum,Ron Howard
535,Denzel Washington,Edward Zwick
536,Henry Cavill,Matthew Vaughn
537,James Martin Kelly,Adam Shankman
538,Brad Pitt,Jean-Jacques Annaud
539,Angelina Jolie Pitt,Kerry Conran
540,Anthony Hopkins,Joel Schumacher
541,Dwayne Johnson,Andrzej Bartkowiak
542,Michael Raymond-James,Craig Gillespie
543,Sylvester Stallone,Mikael Håfström
544,Jason Statham,Gary McKendry
545,Morgan Freeman,Mikael Salomon
546,Bruce Willis,Gregory Hoblit
547,LL Cool J,John McTiernan
548,Roxanne McKee,Renny Harlin
549,Talisa Soto,Wych Kaosayananda
550,Ron Howard,Bobby Farrelly
551,Lea Michele,Will Finn
552,Chris Hemsworth,Michael Mann
553,Charlotte Rampling,Michael Caton-Jones
554,Steve Carell,Pierre Coffin
555,Steve Carell,Jay Roach
556,Robert Pattinson,David Slade
557,Morgan Freeman,Phil Alden Robinson
558,Liam Neeson,Seth MacFarlane
559,Jenna Fischer,Bobby Farrelly
560,Vincent Pastore,Joseph Ruben
561,Morgan Freeman,Lawrence Kasdan
562,Janeane Garofalo,Kinka Usher
563,Al Pacino,Michael Mann
564,Leonardo DiCaprio,Ridley Scott
565,Rufus Sewell,Timur Bekmambetov
566,Hector Elizondo,
567,Colin Firth,Doug Lefler
568,Will Patton,Jon Amiel
569,Rami Malek,Scott Waugh
570,Tom Hanks,Steven Spielberg
571,Judy Greer,Nancy Meyers
572,Joseph Gordon-Levitt,Steven Spielberg
573,Goran Visnjic,Chris Wedge
574,Tom Hanks,Ron Howard
575,Keanu Reeves,Lana Wachowski
576,Hugh Jackman,Tom Hooper
577,Judge Reinhold,Michael Lembeck
578,Tom Hanks,Nora Ephron
579,Finn Wittrock,Angelina Jolie Pitt
580,Finn Wittrock,Angelina Jolie Pitt
581,Robert Downey Jr.,Todd Phillips
582,Will Ferrell,Adam McKay
583,Anthony Hopkins,Martin Campbell
584,Clint Eastwood,Clint Eastwood
585,Quvenzhané Wallis,Will Gluck
586,Sylvester Stallone,Renny Harlin
587,Delroy Lindo,John Woo
588,Nicolas Cage,Oliver Stone
589,Bruce Willis,Jon Turteltaub
590,Julia Roberts,Mike Newell
591,Sayed Badreya,Larry Charles
592,Tom Cruise,Stanley Kubrick
593,Tom Hardy,McG
594,Will Smith,Glenn Ficarra
595,Ryan Reynolds,David S. Goyer
596,Lea Thompson,John Milius
597,Matthew McConaughey,McG
598,Michael Kelly,Baltasar Kormákur
599,Milla Jovovich,Paul W.S. Anderson
600,Maura Tierney,Mike Nichols
601,Brad Pitt,David Fincher
602,Jason Statham,Paul W.S. Anderson
603,Melina Kanakaredes,Renny Harlin
604,Pamela Reed,Taylor Hackford
605,Jennifer Garner,Rob Bowman
606,Nicolas Cage,David Bowers
607,Bruce Willis,Michael Lehmann
608,Joseph Gordon-Levitt,Frank Miller
609,Michael Rapaport,Nora Ephron
610,Ian McNeice,Roman Polanski
611,Chazz Palminteri,Keenen Ivory Wayans
612,Harrison Ford,Sydney Pollack
613,Michael Smiley,Tom Tykwer
614,Wayne Knight,Steven Spielberg
615,Verne Troyer,Jay Roach
616,Gary Cole,Tim Hill
617,Dennis Quaid,Lawrence Kasdan
618,Harrison Ford,Phillip Noyce
619,Matthew McConaughey,Jonathan Mostow
620,Shawna Waldron,Rob Reiner
621,Craig Stark,Quentin Tarantino
622,Justin Timberlake,Marco Schnabel
623,Jon Lovitz,Demian Lichtenstein
624,Patrick Fugit,David Fincher
625,Will Ferrell,Josh Gordon
626,Ki Hong Lee,Wes Ball
627,Denzel Washington,Baltasar Kormákur
628,Robert De Niro,Jay Roach
629,Morgan Freeman,Phil Lord
630,Gerard Butler,Zack Snyder
631,Jill Hennessy,Walt Becker
632,Eric Dane,David Frankel
633,Tom Hanks,Frank Darabont
634,Catherine O'Hara,Mark Dindal
635,Natascha McElhone,Peter Weir
636,Matt Damon,Doug Liman
637,Jon Favreau,Peter Billingsley
638,Izabella Scorupco,Martin Campbell
639,Jason Statham,F. Gary Gray
640,Anjelica Huston,Steve Carr
641,Daniel von Bargen,Simon West
642,Martin Short,Brenda Chapman
643,Tom Cruise,Michael Mann
644,Carol Ann Susi,Lawrence Guterman
645,Dorian Missick,Marc Lawrence
646,Sylvester Stallone,Eric Darnell
647,Dwayne Johnson,Chuck Russell
648,Snoop Dogg,Todd Phillips
649,Tom Cruise,Tony Scott
650,Taylor Lautner,Adam Shankman
651,James Franco,Ryan Murphy
652,Denzel Washington,Tony Scott
653,Al Pacino,Oliver Stone
654,Scarlett Johansson,Robert Redford
655,Jennifer Saunders,Henry Selick
656,Billy Burke,Jay Russell
657,LL Cool J,Renny Harlin
658,Estella Warren,David McNally
659,Zooey Deschanel,M. Night Shyamalan
660,Gerard Butler,Babak Najafi
661,Bianca Kajlich,
662,Robert Downey Jr.,Brian Robbins
663,Jim Belushi,Brian Levant
664,Robert Duvall,Steven Zaillian
665,Jennifer Lawrence,David O. Russell
666,J.K. Simmons,Michael Caton-Jones
667,Ivana Milicevic,John Woo
668,Joe Mantegna,Jon Avnet
669,Emma Watson,Sam Fell
670,Romany Malco,Kevin Donovan
671,Colm Feore,Kenneth Branagh
672,Peter Greene,Geoff Murphy
673,Eileen Brennan,John Pasquin
674,Gary Dourdan,Jean-Pierre Jeunet
675,Tate Donovan,Antoine Fuqua
676,Goran Visnjic,Griffin Dunne
677,Ryan Gosling,Ruben Fleischer
678,Olivia Wilde,Harold Ramis
679,Bojana Novakovic,Martin Campbell
680,Tom Hardy,Stuart Baird
681,Christian Bale,Rob Bowman
682,Dwayne Johnson,Jorge Blanco
683,Julia Roberts,Tony Gilroy
684,Robert De Niro,Jon Avnet
685,Matt Damon,Clint Eastwood
686,Robin Wright,Kevin Macdonald
687,Steven Anthony Lawrence,Donald Petrie
688,Blair Brown,Clark Johnson
689,Clint Eastwood,Robert Lorenz
690,Cedric the Entertainer,Joel Coen
691,John Kapelos,Peter Hyams
692,Bruce Willis,Harold Becker
693,Bruce Willis,Harold Becker
694,Philip Seymour Hoffman,Cameron Crowe
695,Robert De Niro,Harold Ramis
696,Robert Downey Jr.,Joe Wright
697,Aidan Turner,Harald Zwart
698,Matt Damon,Robert Redford
699,Joe Morton,Tom Shadyac
700,Josh Wingate,Scott Stewart
701,Sunny Mabrey,Lee Tamahori
702,Sean Pertwee,Paul W.S. Anderson
703,Brad Pitt,Patrick Gilmore
704,Dougray Scott,Walter Salles
705,Scarlett Johansson,Brian De Palma
706,Matthew McConaughey,Ron Howard
707,Scarlett Johansson,Frank Miller
708,Clifton Collins Jr.,Rod Lurie
709,Brendan Fraser,Iain Softley
710,Robert Forster,Walter Hill
711,James Franco,Tony Bill
712,Matt Bomer,Akiva Goldsman
713,Kelly Preston,Stephen Herek
714,Marc Blucas,Brian Robbins
715,James Franco,John Dahl
716,Johnny Depp,David Koepp
717,Jason Statham,Uwe Boll
718,Angelina Jolie Pitt,Martin Campbell
719,Li Gong,Pou-Soi Cheang
721,Ryan Reynolds,Tim Miller
722,Bradley Cooper,Clint Eastwood
723,Odeya Rush,Rob Letterman
724,Odeya Rush,Rob Letterman
725,David Oyelowo,Anthony Hemingway
726,Jon Heder,Mark Waters
727,Josh Gad,Shawn Levy
728,Taylor Negron,Brian Levant
729,Robert Baker,George Clooney
730,Michael Kelly,Marc Lawrence
731,Milla Jovovich,Paul W.S. Anderson
732,Adam Sandler,Sean Anders
733,Keanu Reeves,Taylor Hackford
734,Nicolas Cage,Mark Neveldine
735,Dennis Quaid,Rob Cohen
736,Salma Hayek,Brett Ratner
737,Christian Bale,John Madden
738,Barry Corbin,
739,Vin Diesel,Adam Shankman
