movie_title,color,language,country,genres,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
The Hunger Games: Mockingjay - Part 2 ,Color,English,USA,Adventure|Sci-Fi,PG-13,death of sister|dystopia|execution|rebellion|revolution,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
The Sorcerer's Apprentice ,Color,English,USA,Action|Adventure|Family|Fantasy,PG,chosen one|enchanted object|love|spell|training,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron
Poseidon ,Color,English,USA,Action|Adventure|Drama|Thriller,PG-13,cruise|escape|ocean|passenger|water,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher
Alice Through the Looking Glass ,Color,English,USA,Adventure|Family|Fantasy,PG,clock|dark fantasy|mad hatter|queen|sequel,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway
Shrek the Third ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,disney spoof|fairy tale|prince|princess|tough guy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett
Warcraft ,Color,English,USA,Action|Adventure|Fantasy,PG-13,based on video game|fictional language|fictional war|orc|sword and sorcery,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga
Terminator Genisys ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alternate timeline|cyborg|future|robot|time machine,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Color,English,USA,Adventure|Family|Fantasy,PG,dragon|king|mouse|quest|warrior,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent
Pearl Harbor , Black and White,English,USA,Action|Drama|History|Romance|War,PG-13,air raid|black smoke|japanese military|japanese navy|sunday,Michael Bay,Jennifer Garner,Jaime King,Mako
Transformers ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien contact|autobot|decepticon|robot vs. robot|teenage hero,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn
Alexander ,Color,English,Germany,Action|Adventure|Biography|Drama|History|Romance|War,R,ancient greece|conquest|greek|greek myth|king,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
Harry Potter and the Order of the Phoenix ,Color,English,UK,Adventure|Family|Fantasy|Mystery,PG-13,battle|magic|school|teacher|wizard,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
Harry Potter and the Goblet of Fire ,Color,English,UK,Adventure|Family|Fantasy|Mystery,PG-13,fire|goblet|magic|tournament|wizard,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint
Hancock ,Color,English,USA,Action|Drama,PG-13,bully comeuppance|destruction|prison|superhero|tough girl,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan
I Am Legend ,Color,English,USA,Drama|Horror|Sci-Fi,PG-13,new york city|pandemic|post apocalypse|survivalist|virus,Francis Lawrence,Will Smith,Alice Braga,Willow Smith
Charlie and the Chocolate Factory ,Color,English,USA,Adventure|Comedy|Family|Fantasy,PG,chocolate|diminution|miniaturization|physical flexability|ticket,Tim Burton,Johnny Depp,Christopher Lee,David Kelly
Ratatouille ,Color,English,USA,Animation|Comedy|Family|Fantasy,G,chef|food|french|rat|restaurant,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy
Batman Begins ,Color,English,USA,Action|Adventure,PG-13,armored car|gangster|gotham|mixed martial arts|social decay,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman
Madagascar: Escape 2 Africa ,Color,English,USA,Action|Adventure|Animation|Comedy|Family,PG,africa|madagascar|new york city|sequel|zoo,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
Night at the Museum: Battle of the Smithsonian ,Color,English,USA,Adventure|Comedy|Family|Fantasy,PG,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan
X-Men Origins: Wolverine ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13,army|civil war|claw fight|commando|wolverine the character,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
The Matrix Revolutions ,Color,English,Australia,Action|Sci-Fi,R,battle|epic|fight|future|machine,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye
Frozen ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy|Musical,PG,magic|sister love|sister sister relationship|snow|snowman,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
The Matrix Reloaded ,Color,English,USA,Action|Sci-Fi,R,car motorcycle chase|one against many|oracle|prophecy|stylized violence,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
Thor: The Dark World ,Color,English,USA,Action|Adventure|Fantasy,PG-13,arrest|portal|thor|warrior|weapon,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Mad Max: Fury Road ,Color,English,Australia,Action|Adventure|Sci-Fi|Thriller,R,australia|desert|escape|on the run|post apocalypse,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz
Angels & Demons ,Color,English,USA,Mystery|Thriller,PG-13,conclave|illuminati|murder|reference to bernini|reference to raphael,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
Thor ,Color,English,USA,Action|Adventure|Fantasy,PG-13,battle|marvel cinematic universe|scientist|thor|throne,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Bolt ,Color,English,USA,Adventure|Animation|Comedy|Drama|Family,PG,cat|dog|hamster|new york city|superpower,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton
G-Force ,Color,English,USA,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,PG,fbi director|guinea pig|household appliance|secret agent|talking mouse,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
Wrath of the Titans ,Color,English,USA,Action|Adventure|Fantasy,PG-13,ares|hades|titan|underworld|zeus,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James
Dark Shadows ,Color,English,USA,Comedy|Fantasy|Horror,PG-13,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee
Mission: Impossible - Rogue Nation ,Color,English,China,Action|Adventure|Thriller,PG-13,capture|computer hacker|mission|rogue agent|spy,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris
The Wolfman ,Color,English,USA,Drama|Fantasy|Horror|Thriller,R,asylum|death|full moon|transformation|werewolf,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik
The Legend of Tarzan ,Color,English,USA,Action|Adventure|Drama|Romance,PG-13,africa|capture|jungle|male objectification|tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump
Bee Movie ,Color,English,USA,Adventure|Animation|Comedy|Family,PG,bee|dream sequence|egg|scatological humor|squashed bug,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn
Kung Fu Panda 2 ,Color,English,USA,Action|Adventure|Animation|Comedy|Family,PG,china|kung fu|panda|peacock|tigress,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell
The Last Airbender ,Color,English,USA,Action|Adventure|Family|Fantasy,PG,avatar|fire|kingdom|tribe|water,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
Mission: Impossible III ,Color,English,USA,Action|Adventure|Thriller,PG-13,arms dealer|fictional government agency|mission|rescue|vatican,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
White House Down ,Color,English,USA,Action|Drama|Thriller,PG-13,black u.s. president|president|secret service|tour|white house,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven
