,movie_title,color,language,country,genres,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
35,Monsters University ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,G,cheating|fraternity|monster|singing in a car|university,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes
36,Transformers: Revenge of the Fallen ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,autobot|decepticon|machine|sun|symbol,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
37,Transformers: Age of Extinction ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer
38,Oz the Great and Powerful ,Color,English,USA,Adventure|Family|Fantasy,PG,circus|magic|magician|oz|witch,Sam Raimi,Tim Holmes,Mila Kunis,James Franco
39,The Amazing Spider-Man 2 ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi,PG-13,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak
40,TRON: Legacy ,Color,English,USA,Action|Adventure|Sci-Fi,PG,arcade|bridge|disappearance|escape|warrior,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain
41,Cars 2 ,Color,English,USA,Adventure|Animation|Comedy|Family|Sport,G,best friend|car race|conspiracy|gadget car|spy,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
42,Green Lantern ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,autopsy|lantern|planet|ring|test pilot,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi
43,Toy Story 3 ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,G,college|day care|escape|teddy bear|toy,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles
44,Terminator Salvation ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,death row|future|machine|rescue|skynet,McG,Christian Bale,Bryce Dallas Howard,Common
45,Furious 7 ,Color,English,USA,Action|Crime|Thriller,PG-13,car falling off a cliff|hospital|revenge|star died before release|terrorist,James Wan,Jason Statham,Paul Walker,Vin Diesel
46,World War Z ,Color,English,USA,Action|Adventure|Horror|Sci-Fi|Thriller,PG-13,chaos|disease|infection|pandemic|zombie,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos
47,X-Men: Days of Future Past ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13,dystopia|super strength|supernatural power|time paradox|time travel,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
48,Star Trek Into Darkness ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,admiral|captain|manhunt|mission|space,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
49,Jack the Giant Slayer ,Color,English,USA,Adventure|Fantasy,PG-13,bean|giant|king|no opening credits|princess,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown
50,The Great Gatsby ,Color,English,Australia,Drama|Romance,PG-13,ingratitude|mansion|party|title appears in writing|tragedy,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
51,Prince of Persia: The Sands of Time ,Color,English,USA,Action|Adventure|Fantasy|Romance,PG-13,alamut|dagger|king|persia|princess,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
52,Pacific Rim ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,giant monster|kaiju|pilot|portal|robot,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
53,Transformers: Dark of the Moon ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,autobot|decepticon|job interview|moon|spacecraft,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn
54,Indiana Jones and the Kingdom of the Crystal Skull ,Color,English,USA,Action|Adventure|Fantasy,PG-13,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent
55,The Good Dinosaur ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,apatosaurus|asteroid|dinosaur|fear|river,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn
56,Brave ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,archery|coming of age|female warrior|princess|rebellious daughter,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters
57,Star Trek Beyond ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,hatred|sequel|space opera|star trek|third part,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
58,WALL·E ,Color,English,USA,Adventure|Animation|Family|Sci-Fi,G,earth|obesity|plant|robot|soil,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin
59,Rush Hour 3 ,Color,English,USA,Action|Comedy|Crime|Thriller,PG-13,ambassador|assassination|chinese|french|triad,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir
60,2012 ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,ark|catastrophe|geologist|president|writer,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy
61,A Christmas Carol ,Color,English,USA,Animation|Drama|Family|Fantasy,PG,charles dickens|christmas|christmas eve|ghost|scrooge,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman
62,Jupiter Ascending ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne
63,The Legend of Tarzan ,Color,English,USA,Action|Adventure|Drama|Romance,PG-13,africa|capture|jungle|male objectification|tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Color,English,USA,Adventure|Family|Fantasy,PG,hide and seek|lion|magic|professor|snow,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi
65,X-Men: Apocalypse ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,mutant|superhero|superhero team|x men|year 1983,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
66,The Dark Knight ,Color,English,USA,Action|Crime|Drama|Thriller,PG-13,based on comic book|dc comics|psychopath|star died before release|urban setting,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman
67,Up ,Color,English,USA,Adventure|Animation|Comedy|Family,PG,balloon|house|promise|retirement|skeleton,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell
68,Monsters vs. Aliens ,Color,English,USA,Action|Adventure|Animation|Comedy|Family|Sci-Fi,PG,alien|alien invasion|alien space craft|giant|giantess,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert
69,Iron Man ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,afghanistan|billionaire|inventor|playboy|u.s. air force,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau
70,Hugo ,Color,English,USA,Adventure|Drama|Family|Mystery,PG,automaton|mechanical|railway station|steampunk|train,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone
71,Wild Wild West ,Color,English,USA,Action|Comedy|Sci-Fi|Western,PG-13,buddy movie|general|inventor|steampunk|utah,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling
72,The Mummy: Tomb of the Dragon Emperor ,Color,English,USA,Action|Adventure|Fantasy|Horror|Thriller,PG-13,army|china|emperor|mummy|shangri la,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong
73,Suicide Squad ,Color,English,USA,Action|Adventure|Comedy|Sci-Fi,PG-13,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz
74,Evan Almighty ,Color,English,USA,Comedy|Family|Fantasy,PG,ark|change|congressman|depiction of god|flood,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell
75,Edge of Tomorrow ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien|combat|dying repeatedly|end of the world|time loop,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor
76,Waterworld ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,future|sail|sea|smoker|water,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
77,G.I. Joe: The Rise of Cobra ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,cobra|gi joe|snake|train|warhead,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
78,Inside Out ,Color,English,USA,Adventure|Animation|Comedy|Drama|Family|Fantasy,PG,anger|joy|memory|running away|sadness,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith
79,The Jungle Book ,Color,English,UK,Adventure|Drama|Family|Fantasy,PG,fire|jungle|remake|tiger|wolf,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling
80,Iron Man 2 ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,hammer|military|monaco|revenge|tony stark,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
81,Snow White and the Huntsman ,Color,English,USA,Action|Adventure|Drama|Fantasy,PG-13,evil queen|fairy tale|magic|queen|snow white,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin
82,Maleficent ,Color,English,USA,Action|Adventure|Family|Fantasy|Romance,PG,curse|dark fantasy|fairy|king|kingdom,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
83,Dawn of the Planet of the Apes ,Color,English,USA,Action|Adventure|Drama|Sci-Fi,PG-13,ape|dam|leader|post apocalypse|sequel,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee
84,The Lovers ,Color,English,Belgium,Action|Adventure|Romance|Sci-Fi,R,1770s|british india|great barrier reef|india|ring,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu
85,47 Ronin ,Color,English,USA,Action|Adventure|Drama|Fantasy,PG-13,box office flop|ronin|samurai|shogun|tournament,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
86,Captain America: The Winter Soldier ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,conspiracy|heroism|megalomaniac|super soldier|world domination,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell
87,Shrek Forever After ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,alternate world|fairy tale parody|female warrior|ogre|true love,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place
88,Tomorrowland ,Color,English,USA,Action|Adventure|Family|Mystery|Sci-Fi,PG,boy genius|futuristic city|inventor|teenage girl|time travel,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson
89,Big Hero 6 ,Color,English,USA,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,PG,high tech|martial arts|masked man|robot|superhero,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
90,Wreck-It Ralph ,Color,English,USA,Adventure|Animation|Comedy|Family|Sci-Fi,PG,arcade|candy|glitch|king|medal,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
91,The Polar Express ,Color,English,USA,Adventure|Animation|Family|Fantasy,G,boy|christmas|christmas eve|north pole|train,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari
92,Independence Day: Resurgence ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien|battle|defense|independence day|mothership,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch
93,How to Train Your Dragon ,Color,English,USA,Adventure|Animation|Family|Fantasy,PG,dragon|island|training|viking|village,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson
94,Terminator 3: Rise of the Machines ,Color,English,USA,Action|Sci-Fi,R,drifter|exploding truck|future|machine|skynet,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy
95,Guardians of the Galaxy ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,bounty hunter|outer space|raccoon|talking animal|tree,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou
96,Interstellar ,Color,English,USA,Adventure|Drama|Sci-Fi,PG-13,black hole|father daughter relationship|saving the world|space travel|wormhole,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
97,Inception ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,ambiguous ending|corporate espionage|dream|subconscious|thief,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt
98,Godzilla Resurgence ,Color,Japanese,Japan,Action|Adventure|Drama|Horror|Sci-Fi,,blood|godzilla|monster|sequel,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
99,The Hobbit: An Unexpected Journey ,Color,English,USA,Adventure|Fantasy,PG-13,dragon|dwarf|hobbit|orc|wizard,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
100,The Fast and the Furious ,Color,English,USA,Action|Crime|Thriller,PG-13,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster
101,The Curious Case of Benjamin Button ,Color,English,USA,Drama|Fantasy|Romance,PG-13,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond
102,X-Men: First Class ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,cia|cia agent|mutant|nuclear war|professor,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt
103,The Hunger Games: Mockingjay - Part 2 ,Color,English,USA,Adventure|Sci-Fi,PG-13,death of sister|dystopia|execution|rebellion|revolution,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
104,The Sorcerer's Apprentice ,Color,English,USA,Action|Adventure|Family|Fantasy,PG,chosen one|enchanted object|love|spell|training,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron
105,Poseidon ,Color,English,USA,Action|Adventure|Drama|Thriller,PG-13,cruise|escape|ocean|passenger|water,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher
106,Alice Through the Looking Glass ,Color,English,USA,Adventure|Family|Fantasy,PG,clock|dark fantasy|mad hatter|queen|sequel,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway
107,Shrek the Third ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,disney spoof|fairy tale|prince|princess|tough guy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett
108,Warcraft ,Color,English,USA,Action|Adventure|Fantasy,PG-13,based on video game|fictional language|fictional war|orc|sword and sorcery,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga
109,Terminator Genisys ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alternate timeline|cyborg|future|robot|time machine,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Color,English,USA,Adventure|Family|Fantasy,PG,dragon|king|mouse|quest|warrior,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent
111,Pearl Harbor , Black and White,English,USA,Action|Drama|History|Romance|War,PG-13,air raid|black smoke|japanese military|japanese navy|sunday,Michael Bay,Jennifer Garner,Jaime King,Mako
112,Transformers ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien contact|autobot|decepticon|robot vs. robot|teenage hero,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn
113,Alexander ,Color,English,Germany,Action|Adventure|Biography|Drama|History|Romance|War,R,ancient greece|conquest|greek|greek myth|king,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
114,Harry Potter and the Order of the Phoenix ,Color,English,UK,Adventure|Family|Fantasy|Mystery,PG-13,battle|magic|school|teacher|wizard,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
115,Harry Potter and the Goblet of Fire ,Color,English,UK,Adventure|Family|Fantasy|Mystery,PG-13,fire|goblet|magic|tournament|wizard,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint
116,Hancock ,Color,English,USA,Action|Drama,PG-13,bully comeuppance|destruction|prison|superhero|tough girl,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan
117,I Am Legend ,Color,English,USA,Drama|Horror|Sci-Fi,PG-13,new york city|pandemic|post apocalypse|survivalist|virus,Francis Lawrence,Will Smith,Alice Braga,Willow Smith
118,Charlie and the Chocolate Factory ,Color,English,USA,Adventure|Comedy|Family|Fantasy,PG,chocolate|diminution|miniaturization|physical flexability|ticket,Tim Burton,Johnny Depp,Christopher Lee,David Kelly
119,Ratatouille ,Color,English,USA,Animation|Comedy|Family|Fantasy,G,chef|food|french|rat|restaurant,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy
120,Batman Begins ,Color,English,USA,Action|Adventure,PG-13,armored car|gangster|gotham|mixed martial arts|social decay,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman
121,Madagascar: Escape 2 Africa ,Color,English,USA,Action|Adventure|Animation|Comedy|Family,PG,africa|madagascar|new york city|sequel|zoo,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
122,Night at the Museum: Battle of the Smithsonian ,Color,English,USA,Adventure|Comedy|Family|Fantasy,PG,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan
123,X-Men Origins: Wolverine ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13,army|civil war|claw fight|commando|wolverine the character,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
124,The Matrix Revolutions ,Color,English,Australia,Action|Sci-Fi,R,battle|epic|fight|future|machine,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye
125,Frozen ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy|Musical,PG,magic|sister love|sister sister relationship|snow|snowman,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
126,The Matrix Reloaded ,Color,English,USA,Action|Sci-Fi,R,car motorcycle chase|one against many|oracle|prophecy|stylized violence,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
127,Thor: The Dark World ,Color,English,USA,Action|Adventure|Fantasy,PG-13,arrest|portal|thor|warrior|weapon,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins
128,Mad Max: Fury Road ,Color,English,Australia,Action|Adventure|Sci-Fi|Thriller,R,australia|desert|escape|on the run|post apocalypse,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz
129,Angels & Demons ,Color,English,USA,Mystery|Thriller,PG-13,conclave|illuminati|murder|reference to bernini|reference to raphael,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
130,Thor ,Color,English,USA,Action|Adventure|Fantasy,PG-13,battle|marvel cinematic universe|scientist|thor|throne,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins
131,Bolt ,Color,English,USA,Adventure|Animation|Comedy|Drama|Family,PG,cat|dog|hamster|new york city|superpower,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton
132,G-Force ,Color,English,USA,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,PG,fbi director|guinea pig|household appliance|secret agent|talking mouse,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
133,Wrath of the Titans ,Color,English,USA,Action|Adventure|Fantasy,PG-13,ares|hades|titan|underworld|zeus,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James
134,Dark Shadows ,Color,English,USA,Comedy|Fantasy|Horror,PG-13,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee
135,Mission: Impossible - Rogue Nation ,Color,English,China,Action|Adventure|Thriller,PG-13,capture|computer hacker|mission|rogue agent|spy,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris
136,The Wolfman ,Color,English,USA,Drama|Fantasy|Horror|Thriller,R,asylum|death|full moon|transformation|werewolf,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik
137,The Legend of Tarzan ,Color,English,USA,Action|Adventure|Drama|Romance,PG-13,africa|capture|jungle|male objectification|tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump
138,Bee Movie ,Color,English,USA,Adventure|Animation|Comedy|Family,PG,bee|dream sequence|egg|scatological humor|squashed bug,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn
139,Kung Fu Panda 2 ,Color,English,USA,Action|Adventure|Animation|Comedy|Family,PG,china|kung fu|panda|peacock|tigress,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell
