,movie_name,domestic_gross,movie_link,production_budget,release_date,worldwide_gross,movie_title
16,Pirates of the Caribbean: On Stranger Tides,241063875,http://www.the-numbers.com/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary,250000000,5/20/2011,1045663875,Pirates of the Caribbean: On Stranger Tides 
17,Superman Returns,200120000,http://www.the-numbers.com/movie/Superman-Returns#tab=summary,232000000,6/28/2006,374085065,Superman Returns 
18,Quantum of Solace,169368427,http://www.the-numbers.com/movie/Quantum-of-Solace#tab=summary,230000000,11/14/2008,591692078,Quantum of Solace 
20,Pirates of the Caribbean: Dead Man's Chest,423315812,http://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary,225000000,7/7/2006,1066215812,Pirates of the Caribbean: Dead Man's Chest 
21,Man of Steel,291045518,http://www.the-numbers.com/movie/Man-of-Steel#tab=summary,225000000,6/14/2013,667999518,Man of Steel 
22,The Chronicles of Narnia: Prince Caspian,141621490,http://www.the-numbers.com/movie/Chronicles-of-Narnia-Prince-Caspian-The#tab=summary,225000000,5/16/2008,417341288,The Chronicles of Narnia: Prince Caspian 
23,The Amazing Spider-Man,262030663,http://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary,220000000,7/3/2012,757890267,The Amazing Spider-Man 
24,Jurassic World,652198010,http://www.the-numbers.com/movie/Jurassic-World#tab=summary,215000000,6/12/2015,1670328025,Jurassic World 
26,Transformers: Revenge of the Fallen,402111870,http://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary,210000000,6/24/2009,836519699,Transformers: Revenge of the Fallen 
27,Transformers: Age of Extinction,245439076,http://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary,210000000,6/27/2014,1104039076,Transformers: Age of Extinction 
28,X-Men: The Last Stand,234362462,http://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary,210000000,5/26/2006,459359555,X-Men: The Last Stand 
29,Robin Hood,105269730,http://www.the-numbers.com/movie/Robin-Hood-(2010)#tab=summary,210000000,5/14/2010,322241588,Robin Hood 
30,Battleship,65233400,http://www.the-numbers.com/movie/Battleship#tab=summary,209000000,5/18/2012,305218228,Battleship 
33,Titanic,658672302,http://www.the-numbers.com/movie/Titanic#tab=summary,200000000,12/19/1997,2207615668,Titanic 
34,Toy Story 3,415004880,http://www.the-numbers.com/movie/Toy-Story-3#tab=summary,200000000,6/18/2010,1069818229,Toy Story 3 
35,Iron Man 3,408992272,http://www.the-numbers.com/movie/Iron-Man-3#tab=summary,200000000,5/3/2013,1215392272,Iron Man 3 
36,Spider-Man 2,373524485,http://www.the-numbers.com/movie/Spider-Man-2#tab=summary,200000000,6/30/2004,783705001,Spider-Man 2 
38,Skyfall,304360277,http://www.the-numbers.com/movie/Skyfall#tab=summary,200000000,11/8/2012,1110526981,Skyfall 
39,Monsters University,268488329,http://www.the-numbers.com/movie/Monsters-University#tab=summary,200000000,6/21/2013,743588329,Monsters University 
40,Oz the Great and Powerful,234770996,http://www.the-numbers.com/movie/Oz-The-Great-and-Powerful#tab=summary,200000000,3/8/2013,490359051,Oz the Great and Powerful 
41,X-Men: Days of Future Past,233921534,http://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary,200000000,5/23/2014,747862775,X-Men: Days of Future Past 
42,The Amazing Spider-Man 2,202853933,http://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary,200000000,5/2/2014,708996336,The Amazing Spider-Man 2 
43,Cars 2,191450875,http://www.the-numbers.com/movie/Cars-2#tab=summary,200000000,6/24/2011,560155383,Cars 2 
44,Tron: Legacy,172062763,http://www.the-numbers.com/movie/Tron-Legacy#tab=summary,200000000,12/17/2010,397562763,TRON: Legacy 
45,2012,166112167,http://www.the-numbers.com/movie/2012#tab=summary,200000000,11/13/2009,788408539,2012 
46,Terminator Salvation,125322469,http://www.the-numbers.com/movie/Terminator-Salvation#tab=summary,200000000,5/21/2009,365491792,Terminator Salvation 
47,Green Lantern,116601172,http://www.the-numbers.com/movie/Green-Lantern#tab=summary,200000000,6/17/2011,231201172,Green Lantern 
48,Prince of Persia: Sands of Time,90759676,http://www.the-numbers.com/movie/Prince-of-Persia-Sands-of-Time#tab=summary,200000000,5/28/2010,314594597,Prince of Persia: The Sands of Time 
49,Transformers: Dark of the Moon,352390543,http://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon#tab=summary,195000000,6/29/2011,1123790543,Transformers: Dark of the Moon 
50,Jack the Giant Slayer,65187603,http://www.the-numbers.com/movie/Jack-the-Giant-Slayer#tab=summary,195000000,3/1/2013,197687603,Jack the Giant Slayer 
51,Furious 7,351032910,http://www.the-numbers.com/movie/Furious-7#tab=summary,190000000,4/3/2015,1514019071,Furious 7 
52,Star Trek Into Darkness,228778661,http://www.the-numbers.com/movie/Star-Trek-Into-Darkness#tab=summary,190000000,5/15/2013,467381584,Star Trek Into Darkness 
53,World War Z,202359711,http://www.the-numbers.com/movie/World-War-Z#tab=summary,190000000,6/21/2013,531514650,World War Z 
55,Disney's A Christmas Carol,137855863,http://www.the-numbers.com/movie/Disneys-A-Christmas-Carol#tab=summary,190000000,11/6/2009,315709697,A Christmas Carol 
56,Pacific Rim,101802906,http://www.the-numbers.com/movie/Pacific-Rim#tab=summary,190000000,7/12/2013,411002906,Pacific Rim 
57,The Good Dinosaur,123087120,http://www.the-numbers.com/movie/Good-Dinosaur-The#tab=summary,187500000,11/25/2015,334354269,The Good Dinosaur 
58,Iron Man,318604126,http://www.the-numbers.com/movie/Iron-Man#tab=summary,186000000,5/2/2008,582443126,Iron Man 
59,The Dark Knight,533345358,http://www.the-numbers.com/movie/Dark-Knight-The#tab=summary,185000000,7/18/2008,1002891358,The Dark Knight 
60,Indiana Jones and the Kingdom of the Crystal Skull,317023851,http://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary,185000000,5/22/2008,786558145,Indiana Jones and the Kingdom of the Crystal Skull 
61,Brave,237282182,http://www.the-numbers.com/movie/Brave#tab=summary,185000000,6/22/2012,554606532,Brave 
62,Star Trek Beyond,130468626,http://www.the-numbers.com/movie/Star-Trek-Beyond#tab=summary,185000000,7/22/2016,196968626,Star Trek Beyond 
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,http://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary,180000000,12/9/2005,720539572,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
64,Maleficent,241407328,http://www.the-numbers.com/movie/Maleficent#tab=summary,180000000,5/30/2014,758536735,Maleficent 
65,WALL-E,223808164,http://www.the-numbers.com/movie/WALL-E#tab=summary,180000000,6/27/2008,532590994,WALL·E 
68,Hugo,73864507,http://www.the-numbers.com/movie/Hugo#tab=summary,180000000,11/23/2011,180047784,Hugo 
70,Jupiter Ascending,47482519,http://www.the-numbers.com/movie/Jupiter-Ascending#tab=summary,179000000,2/6/2015,181982519,Jupiter Ascending 
71,X-Men: Apocalypse,155442489,http://www.the-numbers.com/movie/X-Men-Apocalypse#tab=summary,178000000,5/27/2016,530842489,X-Men: Apocalypse 
72,Edge of Tomorrow,100206256,http://www.the-numbers.com/movie/Edge-of-Tomorrow#tab=summary,178000000,6/6/2014,364406256,Edge of Tomorrow 
74,Inside Out,356461711,http://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary,175000000,6/19/2015,853923085,Inside Out 
75,Up,293004164,http://www.the-numbers.com/movie/Up#tab=summary,175000000,5/29/2009,731542621,Up 
76,Monsters vs. Aliens,198351526,http://www.the-numbers.com/movie/Monsters-vs-Aliens#tab=summary,175000000,3/27/2009,381687380,Monsters vs. Aliens 
77,Suicide Squad,161087183,http://www.the-numbers.com/movie/Suicide-Squad#tab=summary,175000000,8/5/2016,294387183,Suicide Squad 
78,G.I. Joe: The Rise of Cobra,150201498,http://www.the-numbers.com/movie/G-I-Joe#tab=summary,175000000,8/7/2009,302469017,G.I. Joe: The Rise of Cobra 
79,Wild Wild West,113805681,http://www.the-numbers.com/movie/Wild-Wild-West#tab=summary,175000000,6/30/1999,221229335,Wild Wild West 
80,The Mummy: Tomb of the Dragon Emperor,102491776,http://www.the-numbers.com/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary,175000000,8/1/2008,405760225,The Mummy: Tomb of the Dragon Emperor 
81,Evan Almighty,100289690,http://www.the-numbers.com/movie/Evan-Almighty#tab=summary,175000000,6/22/2007,174131329,Evan Almighty 
82,Waterworld,88246220,http://www.the-numbers.com/movie/Waterworld#tab=summary,175000000,7/28/1995,264246220,Waterworld 
83,47 Ronin,38362475,http://www.the-numbers.com/movie/47-Ronin#tab=summary,175000000,12/25/2013,151659062,47 Ronin 
85,Guardians of the Galaxy,333172112,http://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary,170000000,8/1/2014,771172112,Guardians of the Galaxy 
86,Iron Man 2,312433331,http://www.the-numbers.com/movie/Iron-Man-2#tab=summary,170000000,5/7/2010,623561331,Iron Man 2 
87,Captain America: The Winter Soldier,259746958,http://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary,170000000,4/4/2014,714401889,Captain America: The Winter Soldier 
88,Dawn of the Planet of the Apes,208545589,http://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary,170000000,7/11/2014,703545589,Dawn of the Planet of the Apes 
89,The Polar Express,194949659,http://www.the-numbers.com/movie/Polar-Express-The#tab=summary,170000000,11/10/2004,319090241,The Polar Express 
90,Snow White and the Huntsman,155136755,http://www.the-numbers.com/movie/Snow-White-and-the-Huntsman#tab=summary,170000000,6/1/2012,401016924,Snow White and the Huntsman 
91,Terminator 3: Rise of the Machines,150358296,http://www.the-numbers.com/movie/Terminator-3-Rise-of-the-Machines#tab=summary,170000000,7/1/2003,433058296,Terminator 3: Rise of the Machines 
94,Alice Through the Looking Glass,76879693,http://www.the-numbers.com/movie/Alice-Through-the-Looking-Glass#tab=summary,170000000,5/27/2016,277279693,Alice Through the Looking Glass 
95,Shrek Forever After,238736787,http://www.the-numbers.com/movie/Shrek-Forever-After#tab=summary,165000000,5/21/2010,756244673,Shrek Forever After 
96,Big Hero 6,222527828,http://www.the-numbers.com/movie/Big-Hero-6#tab=summary,165000000,11/7/2014,652127828,Big Hero 6 
97,How to Train Your Dragon,217581231,http://www.the-numbers.com/movie/How-to-Train-Your-Dragon#tab=summary,165000000,3/26/2010,494870991,How to Train Your Dragon 
98,Wreck-It Ralph,189412677,http://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary,165000000,11/2/2012,496511521,Wreck-It Ralph 
99,Interstellar,188017894,http://www.the-numbers.com/movie/Interstellar#tab=summary,165000000,11/5/2014,665417894,Interstellar 
100,Independence Day: Resurgence,102362220,http://www.the-numbers.com/movie/Independence-Day-Resurgence#tab=summary,165000000,6/24/2016,379262220,Independence Day: Resurgence 
102,Shrek the Third,322719944,http://www.the-numbers.com/movie/Shrek-the-Third#tab=summary,160000000,5/17/2007,807330936,Shrek the Third 
104,The Hunger Games: Mockingjay - Part 2,281723902,http://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary,160000000,11/20/2015,650523427,The Hunger Games: Mockingjay - Part 2 
107,X-Men: First Class,146408305,http://www.the-numbers.com/movie/X-Men-First-Class#tab=summary,160000000,6/3/2011,355408305,X-Men: First Class 
108,The Curious Case of Benjamin Button,127509326,http://www.the-numbers.com/movie/Curious-Case-of-Benjamin-Button-The#tab=summary,160000000,12/25/2008,329809326,The Curious Case of Benjamin Button 
109,The Sorcerer's Apprentice,63150991,http://www.the-numbers.com/movie/Sorcerers-Apprentice-The#tab=summary,160000000,7/14/2010,217986320,The Sorcerer's Apprentice 
110,Poseidon,60674817,http://www.the-numbers.com/movie/Poseidon#tab=summary,160000000,5/12/2006,181674817,Poseidon 
111,Warcraft,47225655,http://www.the-numbers.com/movie/Warcraft#tab=summary,160000000,6/10/2016,433125655,Warcraft 
112,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,http://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary,155000000,12/10/2010,418186950,The Chronicles of Narnia: The Voyage of the Dawn Treader 
113,Terminator: Genisys,89760956,http://www.the-numbers.com/movie/Terminator-Genisys#tab=summary,155000000,7/1/2015,440160956,Terminator Genisys 
114,Alexander,34297191,http://www.the-numbers.com/movie/Alexander#tab=summary,155000000,11/24/2004,167297191,Alexander 
115,Pearl Harbor,198539855,http://www.the-numbers.com/movie/Pearl-Harbor#tab=summary,151500000,5/25/2001,449239855,Pearl Harbor 
117,Frozen,400738009,http://www.the-numbers.com/movie/Frozen-(2013)#tab=summary,150000000,11/22/2013,1274234980,Frozen 
118,Harry Potter and the Order of the Phoenix,292004738,http://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary,150000000,7/11/2007,942943935,Harry Potter and the Order of the Phoenix 
119,Harry Potter and the Goblet of Fire,290013036,http://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,150000000,11/18/2005,896911078,Harry Potter and the Goblet of Fire 
120,The Matrix Reloaded,281553689,http://www.the-numbers.com/movie/Matrix-Reloaded-The#tab=summary,150000000,5/15/2003,738576929,The Matrix Reloaded 
121,I am Legend,256393010,http://www.the-numbers.com/movie/I-am-Legend#tab=summary,150000000,12/14/2007,585532684,I Am Legend 
122,Hancock,227946274,http://www.the-numbers.com/movie/Hancock#tab=summary,150000000,7/1/2008,624234272,Hancock 
123,Charlie and the Chocolate Factory,206459076,http://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory#tab=summary,150000000,7/15/2005,475825484,Charlie and the Chocolate Factory 
124,Ratatouille,206445654,http://www.the-numbers.com/movie/Ratatouille#tab=summary,150000000,6/29/2007,626549695,Ratatouille 
125,Thor: The Dark World,206360018,http://www.the-numbers.com/movie/Thor-The-Dark-World#tab=summary,150000000,11/8/2013,644600394,Thor: The Dark World 
126,Batman Begins,205343774,http://www.the-numbers.com/movie/Batman-Begins#tab=summary,150000000,6/15/2005,359142722,Batman Begins 
127,Mission: Impossible - Rogue Nation,195042377,http://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary,150000000,7/31/2015,700868363,Mission: Impossible - Rogue Nation 
128,Thor,181030624,http://www.the-numbers.com/movie/Thor#tab=summary,150000000,5/6/2011,449326618,Thor 
129,Madagascar: Escape 2 Africa,180010950,http://www.the-numbers.com/movie/Madagascar-Escape-2-Africa#tab=summary,150000000,11/7/2008,599516844,Madagascar: Escape 2 Africa 
130,X-Men Origins: Wolverine,179883157,http://www.the-numbers.com/movie/X-Men-Origins-Wolverine#tab=summary,150000000,5/1/2009,374825760,X-Men Origins: Wolverine 
131,Night at the Museum: Battle of the Smithsonian,177243721,http://www.the-numbers.com/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary,150000000,5/22/2009,402231063,Night at the Museum: Battle of the Smithsonian 
132,Kung Fu Panda 2,165249063,http://www.the-numbers.com/movie/Kung-Fu-Panda-2#tab=summary,150000000,5/26/2011,664837547,Kung Fu Panda 2 
133,Mad Max: Fury Road,153636354,http://www.the-numbers.com/movie/Mad-Max-Fury-Road#tab=summary,150000000,5/15/2015,373136354,Mad Max: Fury Road 
134,The Matrix Revolutions,139259759,http://www.the-numbers.com/movie/Matrix-Revolutions-The#tab=summary,150000000,11/5/2003,427289109,The Matrix Revolutions 
135,Mission: Impossible III,133501348,http://www.the-numbers.com/movie/Mission-Impossible-III#tab=summary,150000000,5/5/2006,397501348,Mission: Impossible III 
136,Angels & Demons,133375846,http://www.the-numbers.com/movie/Angels-and-Demons#tab=summary,150000000,5/15/2009,490875846,Angels & Demons 
138,The Last Airbender,131772187,http://www.the-numbers.com/movie/Last-Airbender-The#tab=summary,150000000,7/1/2010,319713881,The Last Airbender 
139,Bee Movie,126631277,http://www.the-numbers.com/movie/Bee-Movie#tab=summary,150000000,11/2/2007,287594577,Bee Movie 
140,G-Force,119436770,http://www.the-numbers.com/movie/G-Force#tab=summary,150000000,7/24/2009,292817841,G-Force 
142,Wrath of the Titans,83670083,http://www.the-numbers.com/movie/Wrath-of-the-Titans#tab=summary,150000000,3/30/2012,305270083,Wrath of the Titans 
143,Beowulf,82195215,http://www.the-numbers.com/movie/Beowulf#tab=summary,150000000,11/16/2007,194995215,Beowulf 
144,Dark Shadows,79727149,http://www.the-numbers.com/movie/Dark-Shadows#tab=summary,150000000,5/11/2012,238202668,Dark Shadows 
145,White House Down,73103784,http://www.the-numbers.com/movie/White-House-Down#tab=summary,150000000,6/28/2013,205440387,White House Down 
146,The Wolfman,62189884,http://www.the-numbers.com/movie/Wolf-Man-The#tab=summary,150000000,2/12/2010,142634358,The Wolfman 
148,Mars Needs Moms,21392758,http://www.the-numbers.com/movie/Mars-Needs-Moms#tab=summary,150000000,3/11/2011,39549758,Mars Needs Moms 
150,Flushed Away,64665672,http://www.the-numbers.com/movie/Flushed-Away#tab=summary,149000000,11/3/2006,179357126,Flushed Away 
151,Madagascar 3: Europe's Most Wanted,216391482,http://www.the-numbers.com/movie/Madagascar-3#tab=summary,145000000,6/8/2012,746921271,Madagascar 3: Europe's Most Wanted 
152,Mission: Impossibleâ€”Ghost Protocol,209397903,http://www.the-numbers.com/movie/Mission-Impossible-Ghost-Protocol#tab=summary,145000000,12/16/2011,694713230,Mission: Impossible - Ghost Protocol 
153,How to Train Your Dragon 2,177002924,http://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2#tab=summary,145000000,6/13/2014,616102924,How to Train Your Dragon 2 
154,Tarzan,171091819,http://www.the-numbers.com/movie/Tarzan#tab=summary,145000000,6/16/1999,448191819,Train 
155,Mr. Peabody & Sherman,111506430,http://www.the-numbers.com/movie/Mr-Peabody-and-Sherman#tab=summary,145000000,3/7/2014,269806430,Mr. Peabody & Sherman 
156,Rise of the Guardians,103412758,http://www.the-numbers.com/movie/Rise-of-the-Guardians#tab=summary,145000000,11/21/2012,306900902,Rise of the Guardians 
157,Sahara,68671925,http://www.the-numbers.com/movie/Sahara#tab=summary,145000000,4/8/2005,121671925,Sahara 
159,Die Another Day,160942139,http://www.the-numbers.com/movie/Die-Another-Day#tab=summary,142000000,11/22/2002,431942139,Die Another Day 
160,Star Trek,257730019,http://www.the-numbers.com/movie/Star-Trek#tab=summary,140000000,5/8/2009,385680446,Star Trek 
161,Armageddon,201578182,http://www.the-numbers.com/movie/Armageddon#tab=summary,140000000,7/1/1998,554600000,Armageddon 
163,Captain America: The First Avenger,176654505,http://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary,140000000,7/22/2011,370569776,Captain America: The First Avenger 
164,Kung Fu Panda 3,143528619,http://www.the-numbers.com/movie/Kung-Fu-Panda-3#tab=summary,140000000,1/29/2016,518628619,Kung Fu Panda 3 
166,G.I. Joe: Retaliation,122523060,http://www.the-numbers.com/movie/G-I-Joe-Retaliation#tab=summary,140000000,3/27/2013,375740705,G.I. Joe: Retaliation 
167,The Last Samurai,111110575,http://www.the-numbers.com/movie/Last-Samurai-The#tab=summary,140000000,12/5/2003,456810575,The Last Samurai 
168,Fun With Dick And Jane,110550000,http://www.the-numbers.com/movie/Fun-With-Dick-And-Jane#tab=summary,140000000,12/21/2005,203018919,Fun with Dick and Jane 
169,Exodus: Gods and Kings,65014513,http://www.the-numbers.com/movie/Exodus-Gods-and-Kings#tab=summary,140000000,12/12/2014,268314513,Exodus: Gods and Kings 
170,The BFG,52915678,http://www.the-numbers.com/movie/BFG-The#tab=summary,140000000,7/1/2016,118515678,The BFG 
171,Gods of Egypt,31153464,http://www.the-numbers.com/movie/Gods-of-Egypt#tab=summary,140000000,2/26/2016,133553464,Gods of Egypt 
172,Spider-Man,403706375,http://www.the-numbers.com/movie/Spider-Man#tab=summary,139000000,5/3/2002,821706375,Spider-Man 
173,Watchmen,107509799,http://www.the-numbers.com/movie/Watchmen#tab=summary,138000000,3/6/2009,184068357,Watchmen 
174,Stealth,32116746,http://www.the-numbers.com/movie/Stealth#tab=summary,138000000,7/29/2005,76416746,Stealth 
175,The Incredible Hulk,134806913,http://www.the-numbers.com/movie/Incredible-Hulk-The#tab=summary,137500000,6/13/2008,263417913,The Incredible Hulk 
176,Hulk,132177234,http://www.the-numbers.com/movie/Hulk#tab=summary,137000000,6/20/2003,245229234,Hulk 
177,Final Fantasy: The Spirits Within,32131830,http://www.the-numbers.com/movie/Final-Fantasy-The-Spirits-Within#tab=summary,137000000,7/11/2001,85131830,Final Fantasy: The Spirits Within 
179,The Croods,187168425,http://www.the-numbers.com/movie/Croods-The#tab=summary,135000000,10/1/2012,573068425,The Croods 
180,The Revenant,183637894,http://www.the-numbers.com/movie/Revenant-The-(2015)#tab=summary,135000000,12/25/2015,532037894,The Revenant 
181,The World is Not Enough,126930660,http://www.the-numbers.com/movie/World-is-Not-Enough-The#tab=summary,135000000,11/19/1999,361730660,The World Is Not Enough 
182,Rango,123257581,http://www.the-numbers.com/movie/Rango#tab=summary,135000000,3/4/2011,245504574,Rango 
183,Master and Commander: The Far Side of the World,93926386,http://www.the-numbers.com/movie/Master-and-Commander-The-Far-Side-of-the-World#tab=summary,135000000,11/14/2003,212912137,Master and Commander: The Far Side of the World 
184,Turbo,83028130,http://www.the-numbers.com/movie/Turbo#tab=summary,135000000,7/17/2013,286896578,Turbo 
185,Teenage Mutant Ninja Turtles: Out of the Shadows,81677349,http://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows#tab=summary,135000000,6/3/2016,237177349,Teenage Mutant Ninja Turtles: Out of the Shadows 
186,Happy Feet Two,64006466,http://www.the-numbers.com/movie/Happy-Feet-2#tab=summary,135000000,11/18/2011,157956466,Happy Feet 2 
187,Miami Vice,63478838,http://www.the-numbers.com/movie/Miami-Vice#tab=summary,135000000,7/28/2006,163818556,Miami Vice             
188,War of the Worlds,234280354,http://www.the-numbers.com/movie/War-of-the-Worlds#tab=summary,132000000,6/29/2005,606836535,War of the Worlds 
189,Penguins of Madagascar,83350911,http://www.the-numbers.com/movie/Penguins-of-Madagascar#tab=summary,132000000,11/26/2014,367650911,Penguins of Madagascar 
190,The Hunger Games: Catching Fire,424668047,http://www.the-numbers.com/movie/Hunger-Games-Catching-Fire-The#tab=summary,130000000,11/22/2013,864868047,The Hunger Games: Catching Fire 
191,Harry Potter and the Prisoner of Azkaban,249538952,http://www.the-numbers.com/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary,130000000,6/4/2004,796688549,Harry Potter and the Prisoner of Azkaban 
192,The Bourne Ultimatum,227471070,http://www.the-numbers.com/movie/Bourne-Ultimatum-The#tab=summary,130000000,8/3/2007,442161562,The Bourne Ultimatum 
193,Kung Fu Panda,215434591,http://www.the-numbers.com/movie/Kung-Fu-Panda#tab=summary,130000000,6/6/2008,631910531,Kung Fu Panda 
194,Ant-Man,180202163,http://www.the-numbers.com/movie/Ant-Man#tab=summary,130000000,7/17/2015,518602163,Ant-Man 
196,Puss in Boots,149260504,http://www.the-numbers.com/movie/Puss-in-Boots#tab=summary,130000000,10/28/2011,554987477,Puss in Boots 
197,Megamind,148415853,http://www.the-numbers.com/movie/Megamind#tab=summary,130000000,11/5/2010,321887208,Megamind 
198,Bad Boys II,138540870,http://www.the-numbers.com/movie/Bad-Boys-II#tab=summary,130000000,7/18/2003,273271982,Bad Boys II 
199,Rio 2,131538435,http://www.the-numbers.com/movie/Rio-2#tab=summary,130000000,4/11/2014,493738435,Rio 2 
200,Salt,118311368,http://www.the-numbers.com/movie/Salt#tab=summary,130000000,7/23/2010,290650494,Salt 
202,The Adventures of Tintin,77591831,http://www.the-numbers.com/movie/Adventures-of-Tintin-The#tab=summary,130000000,12/21/2011,373993951,The Adventures of Tintin 
203,After Earth,60522097,http://www.the-numbers.com/movie/After-Earth#tab=summary,130000000,5/31/2013,251499665,After Earth 
204,Australia,49554002,http://www.the-numbers.com/movie/Australia#tab=summary,130000000,11/26/2008,215080810,Australia 
205,R.I.P.D.,33618855,http://www.the-numbers.com/movie/RIPD#tab=summary,130000000,7/19/2013,79072464,R.I.P.D. 
207,Dinosaur,137748063,http://www.the-numbers.com/movie/Dinosaur#tab=summary,127500000,5/19/2000,356148063,Dinosaur 
208,Night at the Museum: Secret of the Tomb,113746621,http://www.the-numbers.com/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary,127000000,12/19/2014,356546621,Night at the Museum: Secret of the Tomb 
209,Harry Potter and the Deathly Hallows: Part II,381011219,http://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary,125000000,7/15/2011,1341511219,Harry Potter and the Deathly Hallows: Part II 
