,movie_title,opening_gross,screens
177,Austin Powers: The Spy Who Shagged Me ,54917604,3312
178,Australia ,14800723,2642
179,Autumn in New York ,10987006,2255
180,Avatar ,77025481,3452
181,Avengers: Age of Ultron ,191271109,4276
182,AVP: Alien vs. Predator ,38291056,3395
183,Away We Go ,130411,4
184,Baahubali: The Beginning ,1405000,210
185,Babe: Pig in the City ,6162640,2384
186,Babel ,389351,7
187,Baby Boy ,8606403,1533
188,Baby Geniuses ,5613587,1689
189,Baby Mama ,17407110,2543
190,Babylon A.D. ,11541571,3390
191,Bad Boys II ,46522560,3186
192,Bad Company ,11007367,2944
193,Bad Lieutenant: Port of Call New Orleans ,245398,27
194,Bad Moms ,23817340,3215
195,Bad Santa ,12292952,2005
196,Bad Teacher ,31603106,3049
197,Bait ,,
198,Ballistic: Ecks vs. Sever ,7010474,2705
199,Bandits ,13050700,3207
200,Bandslam ,2231273,2121
201,Bangkok Dangerous ,7783266,2650
202,Barbershop 2: Back in Business ,24241612,2711
203,Barbershop ,20627433,1605
204,Barney's Great Adventure ,2585292,540
205,Barney's Version ,65241,4
206,Basic Instinct 2 ,3201420,
207,Basic ,11511960,2876
208,Batman & Robin ,42872606,2934
209,Batman Begins ,48745440,3858
210,Batman v Superman: Dawn of Justice ,166007347,4242
211,Battle Los Angeles ,37573187,3417
212,Battle of the Year ,4603177,2008
213,Battleship ,25534825,3690
214,Be Cool ,23450212,3216
215,Be Kind Rewind ,4050655,808
216,Beastly ,9851102,1952
217,Beautiful Creatures ,7582595,2950
218,Beauty Shop ,12801465,2659
219,Beavis and Butt-Head Do America ,20114233,2190
220,Because I Said So ,13122865,2526
221,Because of Winn-Dixie ,13218723,3188
222,Becoming Jane ,2902117,601
223,Bedazzled ,13106526,2568
224,Bedtime Stories ,27450296,3681
225,Bee Movie ,38021044,3928
226,Beerfest ,7031228,2964
227,Before I Go to Sleep ,1843347,1902
228,Behind Enemy Lines ,18736133,2770
229,Being John Malkovich ,637721,25
230,Being Julia ,101126,8
231,Beloved ,8165551,1501
232,Beowulf ,27515871,3153
233,Beverly Hills Chihuahua ,29300465,3215
234,Beyond Borders ,2076402,1798
235,Bicentennial Man ,8234926,2518
236,Big Daddy ,41536370,3027
237,Big Fat Liar ,11554015,2531
238,Big Fish ,207377,6
239,Big Hero 6 ,56215889,3761
240,Big Miracle ,7760205,2047
241,Big Momma's House 2 ,27736056,3261
242,Big Momma's House ,25661041,2802
243,"Big Mommas: Like Father, Like Son ",19000000,2821
244,Big Trouble ,3545204,1961
245,Birdman or (The Unexpected Virtue of Ignorance) ,2471471,857
246,Birthday Girl ,2370809,1000
247,Birth ,1705577,550
248,Black Hawk Down ,193021,4
249,Black Knight ,11102948,2571
250,Black Nativity ,3669530,1516
251,Black Snake Moan ,4143199,
252,Black Swan ,1443809,18
253,Blackhat ,4415000,2567
254,Blade: Trinity ,16061271,2912
255,Blades of Glory ,33014202,3372
256,Blast from the Past ,9160263,2542
257,Blended ,18185000,3555
258,Bless the Child ,9413684,2524
259,Blindness ,1950260,1690
260,Blood and Chocolate ,2074300,1200
261,Blood and Wine ,420993,166
262,Blood Diamond ,8648324,
263,Blood Work ,7312413,2525
264,BloodRayne ,1550000,985
265,Blow ,12443461,2249
266,Blue Crush ,14169455,3002
267,Blue Jasmine ,612064,6
268,Blue Streak ,19208806,2735
269,Boat Trip ,3815075,1714
270,Bobby Jones: Stroke of Genius ,1233297,1332
271,Bobby ,69039,2
272,Body of Lies ,12884416,2710
273,Bogus ,1895593,1134
274,Bon voyage ,27480,1
275,Boogeyman ,19020655,3052
276,Boogie Nights ,4681934,907
277,Book of Shadows: Blair Witch 2 ,13223887,3317
278,Bowfinger ,18062550,2706
279,Brave ,66323594,4164
280,Breakdown ,12307128,2108
281,Breakfast of Champions ,42326,7
282,Brick Mansions ,9516855,2647
283,Bride of Chucky ,11830855,2412
284,Bride Wars ,21058173,3226
285,Bridge of Spies ,15371203,2811
286,Bridge to Terabithia ,28536717,3139
287,Bridget Jones's Diary ,10733933,1611
288,Bridget Jones: The Edge of Reason ,8684055,530
289,Brighton Rock ,,
290,Bringing Down the House ,31101026,2801
291,Bringing Out the Dead ,6193052,1936
292,Brokeback Mountain ,547425,5
293,Brokedown Palace ,3871616,1740
294,Broken Arrow ,,
295,Broken City ,8268908,2620
296,Brooklyn ,187281,5
297,Brother ,60029,11
298,Bruce Almighty ,85734045,3483
300,Bubble Boy ,2038349,1605
301,Buffalo Soldiers ,30977,6
302,Bullet to the Head ,4548201,2404
303,Bulletproof Monk ,8653542,2955
304,Bulworth ,10515839,2047
305,Burlesque ,11947744,3037
306,Burn After Reading ,19128001,2651
307,Burnt ,5002521,3003
308,By the Sea ,96250,10
309,Cadillac Records ,3445559,687
310,Capitalism: A Love Story ,231964,4
311,Captain America: Civil War ,179139142,4226
312,Captain America: The First Avenger ,65058524,3715
313,Captain America: The Winter Soldier ,95023721,3938
314,Captain Corelli's Mandolin ,7209345,1595
315,Captain Phillips ,26000000,3020
316,Carnage ,79795,5
317,Cars 2 ,66135507,4115
318,Case 39 ,5350570,2211
319,Casino Jack ,34528,7
320,Cast Away ,28883406,2774
321,Catch a Fire ,2026997,1306
322,Catch Me If You Can ,30082000,3156
323,Catch That Kid ,5824860,2847
324,Cats & Dogs: The Revenge of Kitty Galore ,12279363,3705
325,Cats & Dogs ,21707617,3040
326,Cats Don't Dance ,1212189,1252
327,Catwoman ,16728411,3117
328,Celebrity ,1588013,493
329,Cellular ,10100571,2749
330,Center Stage ,4604621,1506
331,Central Intelligence ,35535250,3508
332,Centurion ,42826,12
333,Chain Reaction ,7546000,2255
334,Changeling ,9351560,1
335,Changing Lanes ,17128062,2613
336,Chappie ,13346782,3201
337,Charlie and the Chocolate Factory ,56178450,
338,Charlie Bartlett ,1836256,1122
339,Charlie St. Cloud ,12381585,2718
340,Charlie Wilson's War ,15952430,2575
341,Charlie's Angels: Full Throttle ,37634221,3459
342,Charlie's Angels ,40128550,3037
343,Charlotte's Web ,11457353,3566
344,Chasing Liberty ,6081483,2400
345,Chasing Mavericks ,2268274,2002
346,Cheaper by the Dozen 2 ,15340679,3175
347,Cheaper by the Dozen ,27557647,3298
349,Chicago ,2074929,77
350,Chicken Little ,40049778,3654
351,Chicken Run ,17506162,2491
352,Child 44 ,621812,510
353,Children of Men ,179268,
354,Chill Factor ,5810531,2558
355,Chloe ,900688,350
356,Chocolat ,3093590,658
357,Christmas with the Kranks ,21570867,3393
358,Chronicle ,22004098,2907
359,Cinderella Man ,18320205,2812
360,Cirque du Freak: The Vampire's Assistant ,6293205,3074
361,Cirque du Soleil: Worlds Away ,2135000,840
362,City by the Sea ,8935426,2575
363,City Hall ,,
364,City of Angels ,15369048,2212
365,City of Ember ,3129473,2022
366,City of Ghosts ,30547,6
367,CJ7 ,49770,19
368,Click ,40011365,3749
369,Clockstoppers ,10108333,2540
370,Closer ,7707972,476
371,Cloud Atlas ,9612247,2008
372,Cloudy with a Chance of Meatballs 2 ,34017930,4001
373,Cloudy with a Chance of Meatballs ,30304648,3119
374,Cloverfield ,46146546,3411
375,Coach Carter ,29168180,2524
376,Coco Before Chanel ,177399,5
377,Code Name: The Cleaner ,4244142,
378,Cold Mountain ,14574213,2163
379,Collateral Damage ,15058432,2824
380,Collateral ,24701458,3188
381,Colombiana ,10408176,2614
382,Con Air ,24131738,2824
383,Concussion ,10513749,2841
384,Confessions of a Dangerous Mind ,12537,2
385,Confessions of a Teenage Drama Queen ,9350572,2503
386,Confidence ,4563588,1871
387,Connie and Carla ,3254940,1014
388,Conspiracy Theory ,19313566,2806
389,Contact ,20584908,1923
390,Containment ,,
391,Contraband ,24349815,2863
392,Cop Land ,13510482,2233
393,Cop Out ,18211126,3150
394,Copying Beethoven ,70460,26
395,Coraline ,16849646,2299
396,Corky Romano ,9023173,2062
397,Corpse Bride ,385078,5
398,Country Strong ,30000,2
399,Couples Retreat ,34286740,3000
400,Courage Under Fire ,12501000,1986
401,Courage ,1365000,1565
402,Coyote Ugly ,17319282,2653
403,Cradle 2 the Grave ,16521486,2625
404,Cradle Will Rock ,93998,8
405,Crank: High Voltage ,6963565,2223
406,Crank ,12896635,2515
407,Crazy in Alabama ,1010596,1214
408,"Crazy, Stupid, Love. ",19104303,3020
409,Creed ,29632823,3404
410,Criminal ,5767278,2683
411,Critical Care ,43380,10
412,Crocodile Dundee in Los Angeles ,7714362,2123
413,"Crouching Tiger, Hidden Dragon ",663205,16
414,Cruel Intentions ,13020565,2312
415,Curious George ,14703405,2566
416,Daddy Day Care ,27623580,3370
417,Daddy's Home ,38740203,3271
418,Dance Flick ,12622450,2450
419,Dancer in the Dark ,91612,3
420,Dante's Peak ,18479435,2657
421,Dark Blue ,3880688,2176
422,Dark City ,5576953,1754
423,Dark Shadows ,29685274,3755
424,Dark Water ,9939251,2657
425,Darling Companion ,39962,4
426,Date Movie ,21812384,2896
427,Date Night ,25207599,3374
428,Dawn of the Planet of the Apes ,72611427,3967
429,Daybreakers ,15146692,2523
430,Daylight ,10014795,2175
431,De-Lovely ,400001,16
432,Dead Man Down ,5345250,2188
433,Dead Man on Campus ,4704688,1797
434,Deadpool ,135050000,3558
435,Dear John ,30468614,2969
436,Death Race ,12621090,2532
437,Death Sentence ,5337257,1822
438,Death to Smoochy ,4266463,2164
439,Deck the Halls ,12001256,3205
440,Deconstructing Harry ,356476,10
441,Deep Blue Sea ,19107643,2854
442,Deep Impact ,41152375,3156
443,Deep Rising ,4737793,1758
444,Delgo ,511920,2160
445,Deliver Us from Evil ,9740471,3049
446,Delivery Man ,8215000,3036
447,Derailed ,12211986,2443
448,Despicable Me 2 ,83517315,3997
449,Despicable Me ,56397125,3476
450,Detroit Rock City ,2005512,1802
451,Deuce Bigalow: European Gigolo ,9626287,3127
452,Deuce Bigalow: Male Gigolo ,12224016,2151
453,Diary of a Wimpy Kid: Dog Days ,14623599,3391
454,Diary of a Wimpy Kid: Rodrick Rules ,23751502,3167
455,Diary of a Wimpy Kid ,22126166,3077
456,Dickie Roberts: Former Child Star ,6660540,2026
457,Dick ,2210267,1522
458,Did You Hear About the Morgans? ,6616571,2718
459,Die Another Day ,47072040,3314
460,Dinner for Schmucks ,23527839,2911
461,Dinosaur ,38854851,3257
462,Dirty Grandpa ,11111875,2912
463,Dirty Work ,3634236,1776
464,Disaster Movie ,6945535,2642
465,District 9 ,37354308,3049
466,Disturbia ,22224982,2925
467,Disturbing Behavior ,7070714,1842
468,Divergent ,54607747,3936
469,Divine Secrets of the Ya-Ya Sisterhood ,16167412,2507
470,Django Unchained ,30688000,3010
471,DOA: Dead or Alive ,260713,505
472,Dodgeball: A True Underdog Story ,30070196,2694
473,Dolphin Tale 2 ,15873397,3656
474,Domestic Disturbance ,14033112,2910
475,Domino ,4670120,2223
476,Don't Be Afraid of the Dark ,8525728,2760
477,Don't Say a Word ,17090474,2802
478,Donnie Brasco ,11660216,1503
479,Doogal ,3605899,2318
480,Doomsday ,4926565,1936
481,Doom ,15488870,3043
482,Double Jeopardy ,23162542,2547
483,Double Take ,4650,1
484,Doubt ,507226,15
485,Down to Earth ,20027309,2521
486,Downfall ,18195,1
487,Dracula 2000 ,8636567,2204
488,Dracula Untold ,23514615,2885
489,Draft Day ,9783603,2781
490,Drag Me to Hell ,15825480,2508
491,Dragonball: Evolution ,4756488,2181
492,Dragonfly ,10216025,2507
493,DragonHeart ,1238000,
494,Dream House ,8129355,2661
495,Dreamcatcher ,15027423,2945
496,Dreamer: Inspired by a True Story ,9178233,2007
497,Dreamgirls ,378950,3
498,Dredd ,6278491,2506
499,Drillbit Taylor ,10309986,3056
500,Drive Angry ,5187625,2290
501,Driven ,12174504,2905
502,Drive ,11340461,2886
503,Drowning Mona ,5802229,1981
504,Drumline ,12604705,1836
505,"Dude, Where's My Car? ",13845914,2087
506,Dudley Do-Right ,3018345,1802
507,Due Date ,32689406,3355
508,Duets ,2002588,581
509,Duma ,105422,42
510,Dumb and Dumber To ,14200000,3154
511,Dumb and Dumberer: When Harry Met Lloyd ,10845064,2609
512,Duplex ,4617128,2189
513,Duplicity ,13965110,2574
514,Dylan Dog: Dead of Night ,754779,875
515,Eagle Eye ,29150721,3510
516,Earth to Echo ,8250000,3230
517,Earth ,42449,8
518,Eastern Promises ,547092,15
519,Easy Virtue ,143038,10
520,Eat Pray Love ,23104523,3082
521,Eddie the Eagle ,6084682,2042
522,Edge of Darkness ,17214384,3066
523,Edge of Tomorrow ,28760246,3490
524,Edtv ,8311290,2626
525,Eight Below ,24968601,3066
526,Eight Legged Freaks ,6485458,2530
527,Elektra ,14792335,3203
528,Elf ,31113501,3337
529,Elizabeth: The Golden Age ,6153075,2001
530,Elizabethtown ,10618711,2517
531,Elizabeth ,275131,9
532,Ella Enchanted ,6169030,1931
533,Elysium ,29807393,3284
534,Enchanted ,34440317,3730
535,End of Days ,20523595,2593
536,End of Watch ,13152683,2730
537,Ender's Game ,27017351,3407
538,Endless Love ,15059000,2800
539,Enemy at the Gates ,13810266,1509
540,Enemy of the State ,20038573,2393
541,Enough ,17213137,2623
542,Enter the Void ,43651,3
543,Entrapment ,20145595,2815
544,Envy ,6160886,2445
545,Epic Movie ,18612544,2801
546,Epic ,33531068,3882
547,Equilibrium ,541512,301
548,Eragon ,23239907,3020
549,Eraser ,24566446,2410
550,Erin Brockovich ,28138465,2848
551,Ernest & Celestine ,13078,1
552,Escape from L.A. ,8912557,2312
553,Escape from Planet Earth ,15891055,3288
554,Escape Plan ,9800000,2883
555,Escobar: Paradise Lost ,106869,105
556,Eternal Sunshine of the Spotless Mind ,8175198,1353
557,EuroTrip ,6711384,2512
558,Evan Almighty ,31192615,3604
559,Event Horizon ,9511915,2311
560,Ever After: A Cinderella Story ,8526904,1767
561,Everest ,13242895,3006
562,Everybody's Fine ,3852068,2133
563,Everyone Says I Love You ,131678,3
564,Evil Dead ,25775847,3025
565,Evita ,8381055,704
566,Ex Machina ,5349500,1255
567,Executive Decision ,12100000,
568,Exit Wounds ,18485586,2830
569,Exodus: Gods and Kings ,24115934,3503
570,Exorcist: The Beginning ,18054001,2803
571,Extraordinary Measures ,6012594,2545
572,Extreme Measures ,6906546,2298
573,Extreme Ops ,2233525,1800
574,Extremely Loud & Incredibly Close ,110775,6
575,Eye for an Eye ,6968044,1528
576,Eye of the Beholder ,5959447,1751
577,Eye See You ,32300,78
578,Eyes Wide Shut ,21706163,2411
579,Failure to Launch ,24411322,3057
580,Fair Game ,651802,46
581,Faithful ,,
582,Fame ,10011682,3096
583,Fantasia 2000 ,2911485,1313
584,Fantastic 4: Rise of the Silver Surfer ,58051684,3959
585,Fantastic Mr. Fox ,6965267,2033
586,Far from Heaven ,211279,6
587,Fast Five ,86198765,3644
588,Faster ,8523153,2454
589,Fat Albert ,10021510,2674
590,Fateless ,12680,
591,Fear and Loathing in Las Vegas ,4335095,1126
592,Feardotcom ,7087457,2550
593,Felicia's Journey ,43131,5
594,Femme Fatale ,2776248,1066
595,Fever Pitch ,12400125,3267
596,Fifty Shades of Grey ,94395000,3646
597,Fight Club ,11035485,1963
598,Final Destination 2 ,16017141,2834
599,Final Destination 3 ,19173094,2880
600,Final Destination 5 ,18031396,3155
601,Final Destination ,10015822,2587
602,Final Fantasy: The Spirits Within ,11408853,2649
603,Find Me Guilty ,608804,439
604,Finding Forrester ,701207,200
605,Finding Nemo ,16687773,2904
606,Finding Neverland ,220524,8
607,Firestorm ,,
608,Firewall ,13635463,2840
609,Flags of Our Fathers ,10245190,1876
610,Flash of Genius ,2251075,1098
611,Fled ,5405000,2104
612,Flicka ,7703551,2877
613,Flight of the Phoenix ,5019430,2604
614,Flightplan ,24629938,3424
615,Flight ,24900566,1884
616,Flipped ,224233,45
617,Flipper ,213370,
618,Flubber ,35892031,2641
619,Flushed Away ,18814323,3707
620,Flyboys ,6004219,2033
621,Focus ,18685137,3323
622,Fool's Gold ,21589295,3125
623,For Colored Girls ,19497324,2127
624,For Love of the Game ,13041685,2829
625,For Your Consideration ,372012,23
626,Forgetting Sarah Marshall ,17725330,2798
627,Formula 51 ,2817719,1857
628,Four Brothers ,21176925,2533
629,Four Christmases ,31069826,3310
630,Frailty ,4208655,1497
631,Frankenweenie ,11412213,3005
632,Freaky Friday ,22203007,2954
633,Freddy Got Fingered ,7098459,2271
634,Freddy vs. Jason ,36428066,3014
635,Free Birds ,15805237,3736
636,Free State of Jones ,7772000,
637,Freedom Writers ,9405582,
638,Frequency ,9025584,2621
639,Frida ,205996,5
640,Friends with Benefits ,18622150,2926
641,From Dusk Till Dawn ,10240805,2004
642,From Hell ,11014818,2305
643,From Justin to Kelly ,2715848,2001
644,From Paris with Love ,8158860,2722
645,Frozen ,67391326,3742
646,Fun Size ,4101017,3014
647,Fun with Dick and Jane ,21530160,3056
648,Funny Games ,510958,274
649,Funny People ,22657780,3007
650,Fur: An Imaginary Portrait of Diane Arbus ,28815,4
651,Furious 7 ,147187040,4004
652,Furry Vengeance ,6627564,2997
653,Fury ,82251953,3313
654,G-Force ,31706934,3697
655,G.I. Jane ,11094241,1945
656,G.I. Joe: Retaliation ,40501814,3719
657,G.I. Joe: The Rise of Cobra ,54713046,4007
658,Galaxy Quest ,7012630,2412
659,Gamer ,11203761,2502
660,Gangs of New York ,9496870,1504
661,Gangster Squad ,17070347,3103
662,Garfield ,21727611,3094
663,Gattaca ,4320202,1279
664,George of the Jungle ,22878989,2506
665,Georgia Rule ,6773870,2523
666,Get Carter ,6637830,2315
667,Get Hard ,33803253,3175
668,Get Him to the Greek ,17570955,2697
669,Get on Up ,13585915,2468
670,Get Rich or Die Tryin' ,12020807,1652
671,Get Smart ,38683480,3911
672,Getaway ,5606142,2130
673,Ghost Rider: Spirit of Vengeance ,22115334,3174
674,Ghost Rider ,52022908,3619
675,Ghost Ship ,11503423,2787
676,Ghost Town ,5012315,1505
677,Ghosts of Mars ,3804452,2048
678,Ghosts of Mississippi ,168012,21
679,Gigli ,3753518,2215
680,Girl 6 ,,
681,Girl with a Pearl Earring ,89472,7
682,"Girl, Interrupted ",95399,9
683,Gladiator ,34819017,2938
684,Glory Road ,16927589,2222
685,Goal! The Dream Begins ,1921838,1007
686,Gods and Generals ,4675246,1533
687,Gods of Egypt ,14123903,3117
688,Godsend ,6800617,2323
689,Going the Distance ,8508290,3030
690,Gone Girl ,37513109,3014
691,Gone in Sixty Seconds ,25336048,3006
692,Good Luck Chuck ,13652001,2612
693,Good ,9508,2
694,Goosebumps ,23618556,3501
695,Gosford Park ,3395759,658
696,Gossip ,2321729,1525
697,Gothika ,19288438,2382
698,Gran Torino ,271720,6
699,Gravity ,55785112,3575
700,Green Lantern ,53174303,3816
701,Green Zone ,14309295,3003
702,Gridiron Gang ,14414630,3504
703,Grindhouse ,11596613,2624
704,Grosse Pointe Blank ,6870397,1227
705,Grown Ups 2 ,41508572,3491
706,Grown Ups ,40506562,3534
707,Grudge Match ,7310000,2838
708,Guardians of the Galaxy ,94320883,4080
709,Guess Who ,20671446,3147
710,Gulliver's Travels ,6307691,2546
711,"Hail, Caesar! ",11355225,2232
712,Hairspray ,27476745,3121
713,Half Past Dead ,7820536,2113
714,Hall Pass ,13535374,2950
715,Halloween: Resurrection ,12292121,1954
716,Hancock ,62603879,3965
717,Hanging Up ,13567978,
718,Hannah Montana: The Movie ,32324487,3118
719,Hannibal Rising ,13051650,3003
720,Hansel & Gretel: Witch Hunters ,19690956,3372
721,Happily N'Ever After ,6608244,
722,Happy Feet 2 ,21237068,3606
723,Hard Rain ,8009024,2107
724,Hardball ,9386342,2137
725,Harold & Kumar Escape from Guantanamo Bay ,14908404,2510
726,Harriet the Spy ,9580000,1826
727,Harry Potter and the Chamber of Secrets ,88357488,3682
728,Harry Potter and the Deathly Hallows: Part II ,,
729,Harry Potter and the Deathly Hallows: Part I ,,
730,Harry Potter and the Goblet of Fire ,102335066,3858
731,Harry Potter and the Half-Blood Prince ,77835727,4325
732,Harry Potter and the Order of the Phoenix ,77108414,4
733,Harry Potter and the Prisoner of Azkaban ,93687367,3855
734,Harry Potter and the Sorcerer's Stone ,90294621,3672
735,Hart's War ,8907413,2459
736,Haywire ,8425370,2439
737,He Got Game ,7610663,1319
738,He's Just Not That Into You ,27785487,3175
739,Head of State ,13503484,2151
740,Head Over Heels ,4804595,2338
741,Heartbreakers ,11801323,2750
742,Hearts in Atlantis ,9021494,1751
743,Heaven Is for Real ,22522221,2417
744,Hellboy II: The Golden Army ,34539115,3204
745,Herbie Fully Loaded ,12709221,3521
746,Here Comes the Boom ,11816596,3014
747,Here on Earth ,4510705,1714
748,Hereafter ,220322,6
749,Her ,260382,6
750,Hidalgo ,18829435,3063
751,Hide and Seek ,21959233,3005
752,High Crimes ,14005550,2717
753,High Fidelity ,6429107,1183
754,High School Musical 3: Senior Year ,42030184,3623
755,Highlander: Endgame ,6223330,1543
756,Hitch ,43142214,3575
757,Hitman ,13180769,2458
758,Holes ,16300155,2331
759,Hollow Man ,26414386,2956
760,Hollywood Ending ,2017981,765
761,Hollywood Homicide ,11112632,2840
762,Holy Man ,5106919,2013
763,Home on the Range ,13880771,3047
764,Homefront ,6915241,2570
765,Honey ,12856040,1942
766,Hoodwinked Too! Hood vs. Evil ,4108630,2505
767,Hoodwinked! ,16879402,2394
768,Hoot ,3368197,3018
769,Hope Floats ,14210464,2367
770,Hope Springs ,14650121,2361
771,Hop ,37543710,3579
